coord_id,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,coord,nn_separation,flux_peak_condon,flux_peak_selavy,flux_peak_err_condon,flux_peak_err_selavy,island_id_reference,component_id_reference,component_name_reference,ra_hms_cont_reference,dec_dms_cont_reference,ra_deg_cont_reference,dec_deg_cont_reference,ra_err_reference,dec_err_reference,freq_reference,flux_peak_reference,flux_peak_err_reference,flux_int_reference,flux_int_err_reference,maj_axis_reference,min_axis_reference,pos_ang_reference,maj_axis_err_reference,min_axis_err_reference,pos_ang_err_reference,maj_axis_deconv_reference,min_axis_deconv_reference,pos_ang_deconv_reference,maj_axis_deconv_err_reference,min_axis_deconv_err_reference,pos_ang_deconv_err_reference,chi_squared_fit_reference,rms_fit_gauss_reference,spectral_index_reference,spectral_curvature_reference,spectral_index_err_reference,spectral_curvature_err_reference,rms_image_reference,has_siblings_reference,fit_is_estimate_reference,spectral_index_from_TT_reference,flag_c4_reference,comment_reference,coord_reference,nn_separation_reference,flux_peak_condon_reference,flux_peak_selavy_reference,flux_peak_err_condon_reference,flux_peak_err_selavy_reference,separation,dra,ddec,flux_peak_ratio
1,SB30904_island_1,SB30904_component_1a,J000622-000424,00:06:22.6,-00:04:24,1.594179,-0.073564,0.00,0.00,887.5,5212.508,1.324,5714.618,2.174,14.34,12.95,72.61,0.00,0.00,0.00,5.09,2.24,16.55,0.02,0.12,0.15,21004.285,8803.782,-0.90,-99.00,0.00,0.00,1.326,0.0,0.0,1.0,1.0,,"1.594179,-0.073564",0.008425,5212.508,5212.509,1.324,1.179,RACS_0012+00A_island_1,RACS_0012+00A_component_1a,J000622-000424,00:06:22.6,-00:04:24,1.594128,-0.073442,0.01,0.01,887.5,5521.269,19.593,6031.106,17.953,24.99,17.10,103.30,0.03,0.04,0.14,5.85,5.74,-53.34,41.76,43.47,44.21,1125.621,1793.338,-0.73,-99.00,0.00,0.00,18.442,0.0,0.0,1.0,0.0,,"1.594128,-0.073442",0.013225,5521.269,5521.330,19.593,7.606,0.000132,0.000051,-0.000122,0.944
2,SB30904_island_2,SB30904_component_2a,J002225+001456,00:22:25.4,+00:14:56,5.606002,0.248970,0.00,0.00,887.5,3473.927,1.073,3590.185,1.859,14.23,12.30,83.74,0.00,0.00,0.00,2.58,2.20,73.32,1.57,2.20,0.86,9701.607,5677.258,-0.32,-99.00,0.00,0.00,1.094,0.0,0.0,1.0,1.0,,"5.606002,0.24897",0.012385,3473.927,3473.927,1.073,1.050,RACS_0012+00A_island_2,RACS_0012+00A_component_2a,J002225+001456,00:22:25.4,+00:14:56,5.605853,0.249075,0.03,0.02,887.5,4311.875,31.369,4581.407,26.175,26.21,15.86,99.87,0.07,0.07,0.20,10.05,0.00,89.91,0.30,0.00,0.82,718.394,1593.265,-0.19,-99.00,0.00,0.00,30.037,0.0,0.0,1.0,0.0,,"5.605853,0.249075",0.013966,4311.875,4312.084,31.369,11.252,0.000182,0.000149,-0.000105,0.806
3,SB30904_island_3,SB30904_component_3a,J002125-005540,00:21:25.4,-00:55:40,5.355843,-0.927854,0.00,0.00,887.5,1597.228,0.863,1652.083,1.492,14.23,12.31,82.90,0.01,0.01,0.00,2.67,2.14,54.72,1.82,2.89,2.52,6047.999,4217.610,-0.91,-99.00,0.00,0.00,0.879,0.0,0.0,1.0,1.0,,"5.355843,-0.927854",0.073768,1597.228,1597.228,0.863,0.842,RACS_0012+00A_island_3,RACS_0012+00A_component_3a,J002125-005540,00:21:25.4,-00:55:40,5.355690,-0.927800,0.02,0.01,887.5,1781.747,8.609,1899.895,7.799,25.88,16.12,100.86,0.05,0.05,0.16,9.06,0.00,-88.58,0.36,0.00,0.79,992.207,1749.962,-0.84,-99.00,0.00,0.00,8.206,0.0,0.0,1.0,0.0,,"5.35569,-0.9278",0.013802,1781.747,1781.785,8.609,3.350,0.000162,0.000153,-0.000054,0.896
9,SB30904_island_8,SB30904_component_8a,J001425-020555,00:14:25.6,-02:05:55,3.606464,-2.098786,0.00,0.00,887.5,595.598,0.413,629.189,0.701,14.32,12.50,83.61,0.01,0.01,0.00,3.17,2.96,15.00,3.18,3.70,5.13,1142.249,2315.744,-0.80,-99.00,0.00,0.00,0.418,0.0,0.0,1.0,0.0,,"3.606464,-2.098786",0.143462,595.598,595.598,0.413,0.390,RACS_0012+00A_island_8,RACS_0012+00A_component_8a,J001425-020555,00:14:25.5,-02:05:55,3.606321,-2.098708,0.01,0.01,887.5,655.392,2.333,681.704,1.768,25.12,16.20,101.99,0.03,0.03,0.11,6.50,1.29,-88.32,0.88,23.63,1.01,705.485,1477.892,-0.75,-99.00,0.00,0.00,2.212,0.0,0.0,1.0,0.0,,"3.606321,-2.098708",0.143388,655.392,655.399,2.333,0.771,0.000163,0.000143,-0.000078,0.909
12,SB30904_island_10,SB30904_component_10a,J000606+005400,00:06:06.0,+00:54:00,1.525123,0.900245,0.00,0.00,887.5,528.782,0.465,650.724,0.694,15.67,13.30,104.90,0.01,0.01,0.00,7.93,4.15,-52.06,0.01,0.07,0.18,2776.260,3408.248,-0.80,-99.00,0.00,0.00,0.455,0.0,0.0,1.0,1.0,,"1.525123,0.900245",0.085978,528.782,528.782,0.465,0.348,RACS_0012+00A_island_9,RACS_0012+00A_component_9a,J000606+005401,00:06:06.0,+00:54:01,1.525047,0.900445,0.02,0.01,887.5,610.418,2.584,682.928,2.163,26.05,16.80,104.93,0.04,0.04,0.13,9.48,4.62,-66.68,0.33,1.54,0.79,908.623,1618.181,-0.62,-99.00,0.00,0.00,2.452,0.0,0.0,1.0,0.0,,"1.525047,0.900445",0.085885,610.418,610.428,2.584,0.903,0.000214,0.000076,-0.000200,0.866
13,SB30904_island_11,SB30904_component_11a,J002336-025306,00:23:36.2,-02:53:06,5.901002,-2.885154,0.01,0.00,887.5,463.286,0.443,493.922,0.747,14.35,12.58,83.37,0.01,0.01,0.00,3.49,3.13,9.59,1.90,2.43,3.00,589.831,1696.238,-0.47,-99.00,0.00,0.00,0.448,0.0,0.0,1.0,0.0,,"5.901002,-2.885154",0.074019,463.286,463.286,0.443,0.413,RACS_0012+00A_island_10,RACS_0012+00A_component_10a,J002336-025306,00:23:36.2,-02:53:06,5.900856,-2.885120,0.02,0.01,887.5,553.904,3.373,593.840,2.518,26.03,16.11,99.93,0.05,0.05,0.16,9.59,0.00,88.35,0.29,0.00,0.73,631.750,1436.851,-0.20,-99.00,0.00,0.00,3.218,0.0,0.0,1.0,0.0,,"5.900856,-2.88512",0.074320,553.904,553.923,3.373,1.078,0.000150,0.000146,-0.000034,0.836
14,SB30904_island_12,SB30904_component_12a,J235801-021046,23:58:01.4,-02:10:46,359.505816,-2.179551,0.01,0.01,887.5,467.240,0.882,483.792,1.528,14.41,12.18,83.51,0.03,0.02,0.01,3.40,1.35,80.47,1.03,7.24,0.30,363.766,1527.035,-0.19,-99.00,0.00,0.00,0.900,0.0,0.0,1.0,0.0,,"359.505816,-2.179551",0.049443,467.240,467.242,0.882,0.862,RACS_0012+00A_island_12,RACS_0012+00A_component_12a,J235801-021046,23:58:01.4,-02:10:46,359.505652,-2.179528,0.01,0.01,887.5,411.004,1.693,427.607,0.836,24.90,16.35,103.24,0.02,0.03,0.08,5.43,2.83,-76.42,1.80,6.83,1.37,328.634,968.996,-0.78,-99.00,0.00,0.00,1.601,0.0,0.0,1.0,0.0,,"359.505652,-2.179528",0.095265,411.004,411.010,1.693,0.365,0.000165,0.000164,-0.000023,1.137
15,SB30904_island_13,SB30904_component_13a,J001847-023349,00:18:47.7,-02:33:49,4.698912,-2.563735,0.01,0.00,887.5,434.262,0.423,452.271,0.728,14.29,12.35,83.74,0.01,0.01,0.00,2.87,2.45,75.54,3.22,4.53,1.73,287.780,1237.233,-1.03,-99.00,0.00,0.00,0.430,0.0,0.0,1.0,0.0,,"4.698912,-2.563735",0.048941,434.262,434.262,0.423,0.409,RACS_0012+00A_island_11,RACS_0012+00A_component_11a,J001847-023349,00:18:47.7,-02:33:49,4.698741,-2.563686,0.01,0.01,887.5,449.876,1.676,474.877,1.091,25.17,16.41,102.10,0.03,0.03,0.10,6.65,2.95,-88.58,0.87,4.63,1.04,551.363,1271.574,-0.94,-99.00,0.00,0.00,1.587,0.0,0.0,1.0,0.0,,"4.698741,-2.563686",0.048941,449.876,449.882,1.676,0.472,0.000178,0.000171,-0.000049,0.965
16,SB30904_island_14,SB30904_component_14a,J001818-033643,00:18:18.1,-03:36:43,4.575522,-3.611966,0.01,0.01,887.5,370.974,0.900,410.588,1.468,14.53,12.90,85.10,0.03,0.03,0.01,4.49,3.88,-14.77,1.26,1.78,2.21,246.713,1226.518,-0.46,-99.00,0.00,0.00,0.900,0.0,0.0,1.0,0.0,,"4.575522,-3.611966",0.067727,370.974,370.976,0.900,0.791,RACS_0012+00A_island_14,RACS_0012+00A_component_14a,J001818-033642,00:18:18.1,-03:36:42,4.575298,-3.611944,0.02,0.01,887.5,382.477,2.635,421.294,1.494,25.40,16.96,102.51,0.04,0.05,0.16,7.45,5.28,-86.16,1.44,3.00,2.15,414.011,1103.485,-0.68,-99.00,0.00,0.00,2.488,0.0,0.0,1.0,0.0,,"4.575298,-3.611944",0.067980,382.477,382.493,2.635,0.629,0.000225,0.000224,-0.000022,0.970
17,SB30904_island_15,SB30904_component_15a,J000324-015654,00:03:24.4,-01:56:54,0.851540,-1.948361,0.01,0.01,887.5,327.894,0.331,348.032,0.561,14.31,12.57,82.26,0.01,0.01,0.01,3.49,2.84,17.71,1.13,1.78,2.65,568.341,1685.736,-0.59,-99.00,0.00,0.00,0.335,0.0,0.0,1.0,0.0,,"0.85154,-1.948361",0.081132,327.894,327.894,0.331,0.311,RACS_0012+00A_island_16,RACS_0012+00A_component_16a,J000324-015653,00:03:24.3,-01:56:53,0.851427,-1.948287,0.02,0.01,887.5,339.191,1.029,352.838,1.238,25.16,16.18,101.68,0.04,0.04,0.14,6.67,0.62,89.81,1.04,130.11,1.27,1892.054,2348.658,-0.61,-99.00,0.00,0.00,0.976,0.0,0.0,1.0,0.0,,"0.851427,-1.948287",0.081212,339.191,339.194,1.029,0.540,0.000135,0.000113,-0.000074,0.967
